"id","parent_id:id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"bms_account_53010002","bms_account_52000000","53010002","Biaya Pemasaran - Sewa Tangki","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53010003","bms_account_52000000","53010003","Biaya Pemasaran - Pengapalan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53010005","bms_account_52000000","53010005","Biaya Pemasaran - Analisa Sample","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53010006","bms_account_52000000","53010006","Biaya Pemasaran - Biaya Penjualan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53010007","bms_account_52000000","53010007","Biaya Pemasaran - Perlengkapan Listrik","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53010008","bms_account_52000000","53010008","Biaya Pemasaran - Claim Mutu CPO","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53020001","bms_account_52000000","53020001","Biaya Pemasaran - Biaya Penjualan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53020002","bms_account_52000000","53020002","Biaya Pemasaran - Komisi Penjualan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53020003","bms_account_52000000","53020003","Biaya Pemasaran - Angkutan TBS","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53021001","bms_account_52000000","53021001","Biaya Pemasaran - Perlengkapan Listrik","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53021003","bms_account_52000000","53021003","Biaya Pemasaran - Biaya Perjalanan Dinas","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53021004","bms_account_52000000","53021004","Biaya Pemasaran - Iklan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53021005","bms_account_52000000","53021005","Biaya Pemasaran - Pembelian CPO","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53021006","bms_account_52000000","53021006","Biaya Pemasaran - Pembelian Kernel","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53030000","","53030000","BIAYA ADM & UMUM","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_53030001","bms_account_53030000","53030001","B. Umum - Gaji Karyawan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53030002","bms_account_53030000","53030002","B. Umum - Management Fee","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040001","bms_account_53030000","53040001","B. Umum - Tunjangan Jamsostek","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040002","bms_account_53030000","53040002","B. Umum - Tunjangan PPh Psl 21 Pusat","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040003","bms_account_53030000","53040003","B. Umum - Upah Karyawan Outsourcing","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040004","bms_account_53030000","53040004","B. Umum - BPJS Jkt","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040011","bms_account_53030000","53040011","B. Umum - Telepon dan Internet","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53040101","bms_account_53030000","53040101","B. Umum - Sewa Gedung","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050001","bms_account_53030000","53050001","B. Umum - Sewa Aktiva","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050002","bms_account_53030000","53050002","B. Umum - Perjalanan Dinas","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050003","bms_account_53030000","53050003","B. Umum - BBM, Parkir, Tol","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050004","bms_account_53030000","53050004","B. Umum - Ekpedisi","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050005","bms_account_53030000","53050005","B. Umum - Transportasi","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050006","bms_account_53030000","53050006","B. Umum - Iklan dan Promosi","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53050007","bms_account_53030000","53050007","B. Umum - Biaya Kirim dokumen & Pos","account.data_account_type_direct_costs","0","l10n_id_bms"
